,id_old,skill,hazard,hours,production,salary,prof_ohe,equip_ohe,prod_ty
0,1,2,1.0,180,1950,15981.322550399876,000000001,100000000,10.833333333333334
1,2,2,1.0,228,1950,27051.056394078376,000000001,100000000,8.552631578947368
2,3,2,1.0,252,1950,32585.923315917622,000000001,100000000,7.738095238095238
3,4,2,3.3,240,1950,35376.91943464584,000000001,000000010,8.125
4,5,2,3.3,252,1950,38144.35289556546,000001000,000000010,7.738095238095238
5,6,2,3.3,264,1950,40911.786356485085,000000001,000000010,7.386363636363637
6,7,2,3.3,240,1950,35376.91943464584,000001000,000000010,8.125
7,8,2,3.3,240,1950,35376.91943464584,000000001,000000010,8.125
8,9,2,3.3,288,1950,46446.65327832433,000000001,000000010,6.770833333333333
9,10,2,3.3,240,1950,35376.91943464584,000001000,000000010,8.125
10,11,2,3.3,180,1950,21539.75213004771,000001000,000000010,10.833333333333334
11,12,2,3.3,192,1950,24307.18559096734,000000001,000000010,10.15625
12,13,2,3.3,204,1950,27074.619051886963,000000001,000000010,9.558823529411764
13,14,2,3.3,216,1950,29842.05251280658,000001000,000000010,9.027777777777779
14,15,2,3.3,228,1950,32609.4859737262,000000001,000000010,8.552631578947368
15,16,2,3.3,228,1950,32609.4859737262,000001000,000000010,8.552631578947368
19,20,3,1.0,240,1950,32610.276570991,000000001,100000000,8.125
26,27,3,3.3,240,1950,38168.70615063884,000001000,000000010,8.125
48,49,4,3.4,216,1950,35667.296796081646,001000000,000010000,9.027777777777779
50,51,4,3.4,240,1950,41202.16371792089,000000100,000010000,8.125
56,57,4,3.1,228,1950,37709.717703134156,000100000,000010000,8.552631578947368
58,59,4,3.4,204,1950,32899.86333516202,001000000,000010000,9.558823529411764
76,77,4,3.2,264,1950,46253.68893718207,000000010,000000010,7.386363636363637
79,80,4,3.2,192,1950,29649.08817166432,000000010,000000010,10.15625
90,91,4,3.3,228,1950,38193.059405712236,000001000,000000001,8.552631578947368
99,100,5,3.3,216,1950,38217.412660785616,100000000,010000000,9.027777777777779
112,113,5,2.0,252,1950,43377.99197678703,000010000,001000000,7.738095238095238
113,114,5,2.0,204,1950,32308.258133108524,000010000,001000000,9.558823529411764
115,116,5,3.4,216,1950,38459.08351207465,001000000,000010000,9.027777777777779
118,119,5,3.4,276,1950,52296.25081667278,001000000,000001000,7.065217391304348
130,131,5,3.4,204,1950,35691.650051155026,001000000,000000100,9.558823529411764
143,144,6,3.4,276,1950,55088.03753266578,001000000,000010000,7.065217391304348
144,145,6,3.4,228,1950,44018.303688987275,001000000,000010000,8.552631578947368
145,146,6,3.4,228,1950,44018.303688987275,001000000,000010000,8.552631578947368
148,149,6,3.3,216,1950,41009.19937677862,100000000,000000010,9.027777777777779
150,151,6,3.3,300,1950,60381.233603215995,100000000,000000001,6.5
159,160,7,1.0,252,1950,46544.856895882665,010000000,000100000,7.738095238095238
161,162,7,3.4,228,1950,46810.09040498029,001000000,000010000,8.552631578947368
171,172,7,3.3,252,1950,52103.286475530505,100000000,000000010,7.738095238095238
172,173,7,3.3,276,1950,57638.15339736975,100000000,000000010,7.065217391304348
179,180,7,3.3,204,1950,41033.55263185201,100000000,000000001,9.558823529411764
182,183,8,1.0,264,1950,52104.077072795306,010000000,000100000,7.386363636363637
183,184,8,1.0,216,1950,41034.343229116814,010000000,000100000,9.027777777777779
184,185,8,3.4,228,1950,49601.87712097331,001000000,000010000,8.552631578947368
185,186,8,3.4,192,1950,41299.57673821444,001000000,000010000,10.15625
186,187,8,3.4,228,1950,49601.87712097331,001000000,000010000,8.552631578947368
187,188,8,3.4,240,1950,52369.31058189293,001000000,000010000,8.125
188,189,8,3.4,288,1950,63439.044425571425,001000000,000010000,6.770833333333333
189,190,8,3.4,240,1950,52369.31058189293,001000000,000010000,8.125
190,191,8,3.3,204,1950,43825.33934784503,100000000,000000010,9.558823529411764
191,192,8,3.3,240,1950,52127.6397306039,100000000,000000010,8.125
192,193,8,3.3,288,1950,63197.37357428239,100000000,000000010,6.770833333333333
193,194,8,3.3,228,1950,49360.20626968428,100000000,000000010,8.552631578947368
194,195,8,3.3,228,1950,49360.20626968428,100000000,000000010,8.552631578947368
195,196,8,3.3,216,1950,46592.772808764654,100000000,000000010,9.027777777777779
196,197,8,3.3,228,1950,49360.20626968428,100000000,000000001,8.552631578947368
197,198,8,3.3,228,1950,49360.20626968428,100000000,000000001,8.552631578947368
198,199,8,3.3,252,1950,54895.07319152352,100000000,000000001,7.738095238095238
199,200,8,3.3,252,1950,54895.07319152352,100000000,000000001,7.738095238095238
200,201,2,1.0,204,1460,20434.037910843275,000000001,100000000,7.1568627450980395
201,202,2,1.0,204,1460,20434.037910843275,000000001,100000000,7.1568627450980395
202,203,2,1.0,204,1460,20434.037910843275,000000001,100000000,7.1568627450980395
203,204,2,3.3,144,1460,12155.300185892978,000000001,000000010,10.13888888888889
204,205,2,3.3,156,1460,14922.733646812609,000001000,000000010,9.35897435897436
205,206,2,3.3,168,1460,17690.16710773223,000000001,000000010,8.69047619047619
206,207,2,3.3,156,1460,14922.733646812609,000001000,000000010,9.35897435897436
