id	id_old	skill	hazard	hours	production	salary	prof_ohe	equip_ohe	prod_ty
0	1	2	1.0	180	1950	20431.70093763243	000000001	100000000	10.833333333333334
1	2	2	1.0	228	1950	28912.630549391764	000000001	100000000	8.552631578947368
2	3	2	1.0	252	1950	34642.24756327581	000000001	100000000	7.738095238095238
3	4	2	3.3	240	1950	36929.848731417966	000000001	000000010	8.125
4	5	2	3.3	252	1950	40079.09746550229	000001000	000000010	7.738095238095238
5	6	2	3.3	264	1950	41754.69372452255	000000001	000000010	7.386363636363637
6	7	2	3.3	240	1950	36929.848731417966	000001000	000000010	8.125
7	8	2	3.3	240	1950	36929.848731417966	000000001	000000010	8.125
8	9	2	3.3	288	1950	48787.038649090944	000000001	000000010	6.770833333333333
9	10	2	3.3	240	1950	36929.848731417966	000001000	000000010	8.125
10	11	2	3.3	180	1950	24446.03979194083	000001000	000000010	10.833333333333334
11	12	2	3.3	192	1950	26877.20636250175	000000001	000000010	10.15625
12	13	2	3.3	204	1950	29448.35510492552	000000001	000000010	9.558823529411764
13	14	2	3.3	216	1950	32199.761705865152	000001000	000000010	9.027777777777779
14	15	2	3.3	228	1950	34184.418841388804	000000001	000000010	8.552631578947368
15	16	2	3.3	228	1950	34184.418841388804	000001000	000000010	8.552631578947368
19	20	3	1.0	240	1950	31492.9988291915	000000001	100000000	8.125
26	27	3	3.3	240	1950	36929.848731417966	000001000	000000010	8.125
48	49	4	3.4	216	1950	36530.78861660694	001000000	000010000	9.027777777777779
50	51	4	3.4	240	1950	41151.62767518569	000000100	000010000	8.125
56	57	4	3.1	228	1950	34864.12914056069	000100000	000010000	8.552631578947368
58	59	4	3.4	204	1950	33570.57977134617	001000000	000010000	9.558823529411764
76	77	4	3.2	264	1950	45007.16937020033	000000010	000000010	7.386363636363637
79	80	4	3.2	192	1950	28650.32162694225	000000010	000000010	10.15625
90	91	4	3.3	228	1950	37131.02021693053	000001000	000000001	8.552631578947368
99	100	5	3.3	216	1950	37692.36707101608	100000000	010000000	9.027777777777779
112	113	5	2.0	252	1950	43484.23253517629	000010000	001000000	7.738095238095238
113	114	5	2.0	204	1950	31435.40668164506	000010000	001000000	9.558823529411764
115	116	5	3.4	216	1950	38950.94368118699	001000000	000010000	9.027777777777779
118	119	5	3.4	276	1950	56352.877817693035	001000000	000001000	7.065217391304348
130	131	5	3.4	204	1950	35990.734835926225	001000000	000000100	9.558823529411764
143	144	6	3.4	276	1950	60003.959134198994	001000000	000010000	7.065217391304348
144	145	6	3.4	228	1950	45310.2110891994	001000000	000010000	8.552631578947368
145	146	6	3.4	228	1950	45310.2110891994	001000000	000010000	8.552631578947368
148	149	6	3.3	216	1950	40580.10638020754	100000000	000000010	9.027777777777779
150	151	6	3.3	300	1950	65022.069062427254	100000000	000000001	6.5
159	160	7	1.0	252	1950	49849.32129497715	010000000	000100000	7.738095238095238
161	162	7	3.4	228	1950	50214.967333959896	001000000	000010000	8.552631578947368
171	172	7	3.3	252	1950	56261.61170825449	100000000	000000010	7.738095238095238
172	173	7	3.3	276	1950	64445.42259551847	100000000	000000010	7.065217391304348
179	180	7	3.3	204	1950	41526.79846366008	100000000	000000001	9.558823529411764
